ja-JP	latitude	longitude	overall_length	texture	first_julian_day	last_julian_day
中広形	36.23587531	138.9376699	197	Doka	1713755	1724712
細形Ⅱb	36.28377009	138.8044313	123	Doka	1637054	1651664
中細形BC	36.5864	136.622	148	DokenChuC	1684536	1713755
細形	36.48989058	138.1326601	123	DokenChuC	1637054	1651664
細形Ⅳ	35.24517332	137.0186241	123	DokenChuC	1637054	1651664
広形Ⅱ	35.05687049	135.9511841	253	Dohoko	1735670	1750279
平形I（再加工）	35.06497373	135.9833407	157	Doken	1702798	1713755
細形	34.92052595	135.6984955	123	DokenChuC	1637054	1651664
広形Ⅱ	34.45744356	135.5857245	253	Dohoko	1735670	1750279
中細形B	35.01383307	134.4126139	148	DokenChuC	1684536	1702798
東部瀬戸内系平形	34.86852639	134.3187203	157	Doken	1702798	1724712
東部瀬戸内系平形	34.86852639	134.3187203	157	Doken	1702798	1724712
東部瀬戸内系平形	34.86852639	134.3187203	157	Doken	1702798	1724712
広形Ⅱ	34.79663394	134.5907244	253	Dohoko	1735670	1750279
中細形D	34.80273063	134.935595	148	DokenChuC	1713755	1724712
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
中細形B	34.33311732	134.736359	148	DokenChuC	1684536	1702798
細形	34.68956176	134.9810429	123	DokenChuC	1637054	1651664
細形	34.56938907	135.7987858	123	Dohoko	1637054	1651664
細形ないし古式中細形	34.51716774	135.8257004	123	DokenChuC	1637054	1684536
中細形c	35.48729717	133.6805596	179	DokenChuC	1702798	1713755
中細形c	35.48729717	133.6805596	179	DokenChuC	1702798	1713755
中細形C	35.48729717	133.6805596	179	DokenChuC	1702798	1713755
中細形C	35.48729717	133.6805596	179	DokenChuC	1702798	1713755
中細形BC	35.4709674	134.2356303	148	DokenChuC	1684536	1713755
中細形	35.38419831	133.4268693	148	DokenChuC	1666274	1713755
変形細形	35.49189714	133.6629376	123	Dohoko	1637054	1651664
中細形B	35.40111884	132.6886602	148	Doka	1684536	1702798
中細形c	35.18610213	133.1031963	179	DokenChuC	1702798	1713755
細形Ⅱb	35.43851855	133.1157899	123	DokenChuC	1637054	1651664
中細形BC	36.09728947	133.096734	148	DokenChuC	1684536	1713755
中細形c	35.52089784	132.9888126	179	DokenChuC	1702798	1713755
中細形c	35.52089784	132.9888126	179	DokenChuC	1702798	1713755
中細形c	35.52089784	132.9888126	179	DokenChuC	1702798	1713755
中細形c	35.52089784	132.9888126	179	DokenChuC	1702798	1713755
中細形c	35.52089784	132.9888126	179	DokenChuC	1702798	1713755
中細形c	35.52089784	132.9888126	179	DokenChuC	1702798	1713755
細形Ⅱb	35.40203096	132.6854639	123	DokenChuC	1637054	1651664
細形Ⅰ	34.50955907	132.0013226	123	Doka	1637054	1651664
中細形c	35.37664511	132.8525139	357	DokenChuC360	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
中細形c	35.37664511	132.8525139	0	DokenChuC	1702798	1713755
