key	latitude	longitude
TAinu1	37.08277778	140.8761111
TAinu2	37.24638889	140.5369444
TAinu3	37.31194444	140.535
TAinu4	37.40944444	140.2947222
TAinu5	37.45944444	140.3155556
TAinu6	37.49416667	141.0113889
TAinu7	37.58333333	140.5611111
TAinu8	37.59944444	139.8088889
TAinu9	37.71277778	140.3511111
TAinu10	37.73111111	140.4747222
TAinu11	37.80638889	140.4605556
TAinu12	38.33916667	141.1141667
TAinu13	38.35972222	140.3175
TAinu14	38.43444444	141.3027778
TAinu15	38.46222222	141.0808333
TAinu16	38.5	140.9383333
TAinu17	38.51638889	140.9305556
TAinu18	38.57944444	141.1691667
TAinu19	38.58388889	141.1530556
TAinu20	38.61861111	141.0963889
TAinu21	38.84555556	141.1302778
TAinu22	38.86972222	140.7083333
TAinu23	38.97694444	140.4752778
TAinu24	38.98222222	140.5158333
TAinu25	39.04916667	140.6422222
TAinu26	39.05	140.4272222
TAinu27	39.0775	140.39
TAinu28	39.09305556	140.5341667
TAinu29	39.13	140.6608333
TAinu30	39.14138889	140.4613889
TAinu31	39.15222222	140.2516667
TAinu32	39.16	140.39
TAinu33	39.16388889	140.2480556
TAinu34	39.16972222	140.6658333
TAinu35	39.17777778	141.2419444
TAinu36	39.19916667	140.405
TAinu37	39.2075	141.1011111
TAinu38	39.23222222	140.6333333
TAinu39	39.25166667	140.4508333
TAinu40	39.25888889	141.8327778
TAinu41	39.26833333	141.7947222
TAinu42	39.28083333	140.6113889
TAinu43	39.29861111	140.8433333
TAinu44	39.29888889	141.6619444
TAinu45	39.30777778	141.6147222
TAinu46	39.31111111	140.7147222
TAinu47	39.32527778	141.5644444
TAinu48	39.33527778	140.2786111
TAinu49	39.34083333	141.4641667
TAinu50	39.34083333	141.2088889
TAinu51	39.34305556	141.2805556
TAinu52	39.35138889	141.0283333
TAinu53	39.40388889	140.7194444
TAinu54	39.40583333	140.2105556
TAinu55	39.41111111	141.1472222
TAinu56	39.41166667	141.61
TAinu57	39.41194444	141.6380556
TAinu58	39.41222222	141.3722222
TAinu59	39.42055556	141.5269444
TAinu60	39.47666667	140.5211111
TAinu61	39.48222222	140.5527778
TAinu62	39.48777778	140.5713889
TAinu63	39.50138889	141.2622222
TAinu64	39.51416667	140.5258333
TAinu65	39.52388889	141.1963889
TAinu66	39.53166667	140.6102778
TAinu67	39.59138889	141.2111111
TAinu68	39.59944444	140.2183333
TAinu69	39.60166667	140.7013889
TAinu70	39.65305556	140.2680556
TAinu71	39.65472222	141.9111111
TAinu72	39.70138889	140.735
TAinu73	39.71	141.9661111
TAinu74	39.71055556	141.7244444
TAinu75	39.72583333	141.1861111
TAinu76	39.7525	140.5766667
TAinu77	39.75416667	141.2161111
TAinu78	39.75416667	140.6488889
TAinu79	39.76694444	140.3513889
TAinu80	39.78222222	140.1880556
TAinu81	39.78388889	141.9547222
TAinu82	39.80222222	140.5777778
TAinu83	39.81305556	141.7194444
TAinu84	39.81666667	140.5911111
TAinu85	39.835	140.5663889
TAinu86	39.83944444	141.7597222
TAinu87	39.84055556	141.9533333
TAinu88	39.85888889	140.1455556
TAinu89	39.86972222	140.1777778
TAinu90	39.88972222	140.5113889
TAinu91	39.89027778	141.5866667
TAinu92	39.92138889	140.5280556
TAinu93	39.94194444	140.4972222
TAinu94	39.94222222	140.145
TAinu95	39.95388889	140.1411111
TAinu96	39.95555556	141.2652778
TAinu97	39.97027778	140.3763889
TAinu98	39.98305556	140.1705556
TAinu99	39.98722222	139.9247222
TAinu100	40.00361111	141.1372222
TAinu101	40.00583333	140.3805556
TAinu102	40.02194444	141.2747222
TAinu103	40.04194444	141.8480556
TAinu104	40.05527778	140.0788889
TAinu105	40.06222222	140.7769444
TAinu106	40.08	140.4105556
TAinu107	40.11111111	140.7988889
TAinu108	40.13361111	140.3963889
TAinu109	40.13416667	140.7741667
TAinu110	40.15	141.0825
TAinu111	40.1725	140.7902778
TAinu112	40.175	140.5575
TAinu113	40.18722222	140.1138889
TAinu114	40.19333333	140.6327778
TAinu115	40.19361111	141.4658333
TAinu116	40.22027778	140.8094444
TAinu117	40.23611111	141.2427778
TAinu118	40.24333333	140.17
TAinu119	40.26222222	141.3261111
TAinu120	40.27111111	140.7661111
TAinu121	40.27944444	140.6230556
TAinu122	40.29916667	141.2308333
TAinu123	40.30222222	141.3983333
TAinu124	40.30888889	140.5691667
TAinu125	40.31333333	141.5172222
TAinu126	40.31666667	140.8405556
TAinu127	40.31805556	140.21
TAinu128	40.31944444	141.3069444
TAinu129	40.32777778	141.7413889
TAinu130	40.32888889	140.6188889
TAinu131	40.33361111	141.1397222
TAinu132	40.34	141.1522222
TAinu133	40.35083333	140.5613889
TAinu134	40.35888889	141.1975
TAinu135	40.36805556	141.2825
TAinu136	40.37388889	141.3461111
TAinu137	40.37527778	141.4819444
TAinu138	40.38444444	140.72
TAinu139	40.40777778	139.9786111
TAinu140	40.42027778	141.5566667
TAinu141	40.43166667	141.3019444
TAinu142	40.43777778	141.0936111
TAinu143	40.44166667	141.6175
TAinu144	40.47861111	141.3716667
TAinu145	40.50305556	140.3788889
TAinu146	40.50944444	141.3447222
TAinu147	40.545	141.3602778
TAinu148	40.54833333	140.5680556
TAinu149	40.55833333	141.2125
TAinu150	40.58444444	140.4966667
TAinu151	40.58888889	140.7047222
TAinu152	40.63472222	140.4555556
TAinu153	40.65805556	141.1766667
TAinu154	40.67972222	140.5994444
TAinu155	40.68888889	141.2575
TAinu156	40.69777778	140.6127778
TAinu157	40.7075	140.8466667
TAinu158	40.71055556	140.7258333
TAinu159	40.73222222	140.3119444
TAinu160	40.74111111	140.7402778
TAinu161	40.75777778	141.2830556
TAinu162	40.75805556	140.6422222
TAinu163	40.81	140.6911111
TAinu164	40.82222222	140.7472222
TAinu165	40.86444444	141.1286111
TAinu166	40.87416667	141.3127778
TAinu167	40.88833333	140.6641667
TAinu168	40.92611111	140.9558333
TAinu169	41.22527778	141.2994444
TAinu170	41.22638889	140.3508333
TAinu171	41.22944444	140.9830556
TAinu172	41.39611111	141.4416667
TAinu173	41.41222222	140.85
TAinu174	41.52666667	140.9075
