id	name	region	settlement_population_min_ad200	settlement_population_max_ad200	population_ad200	population_ad725
1	satsuma	2	20	40	11353	38400
2	osumi	2	20	40	12003	40600
3	hyuga	2	20	40	9106	30800
4	higo	2	20	40	32137	108700
5	bungo	3	20	40	6139	51600
6	chikugo	3	20	40	7055	59300
7	hizen	3	20	40	5747	48300
8	chikuzen	3	20	40	13325	112000
9	buzen	3	20	40	5616	47200
10	iki	3	20	40	1440	12100
11	tsushima	3	20	40	1178	9900
12	nagato	5	20	40	4887	43900
13	suo	5	20	40	5499	49400
14	aki	5	20	40	7703	69200
15	bingo	5	20	40	7948	71400
16	bitchu	5	20	40	8805	79100
17	mimasaka	5	20	40	7825	70300
18	bizen	5	20	40	6234	56000
19	harima	7	20	40	11790	107600
20	iwami	6	20	40	2051	40600
21	izumo	6	20	40	4330	85700
22	hoki	6	20	40	2663	52700
23	oki	6	20	40	667	13200
24	inaba	6	20	40	2774	54900
25	tajima	6	20	40	3274	64800
26	tango	6	20	40	1940	38400
27	tanba	7	20	40	8185	74700
28	iyo	4	20	40	8639	79100
29	tosa	4	20	40	5155	47200
30	awa	4	20	40	5515	50500
31	sanuki	4	20	40	10791	98800
32	awaji	7	20	40	2049	18700
33	kii	7	20	40	6739	61500
34	yamato	8	20	40	11337	171700
35	kawachi	8	20	40	5804	87900
36	yamashiro	8	20	40	5658	85700
37	izumi	8	20	40	1743	26400
38	settsu	8	20	40	5658	85700
39	wakasa	11	20	40	1893	23100
40	echizen	11	20	40	4950	60400
41	kaga	11	20	40	2696	32900
42	etchu	11	20	40	3778	46100
43	noto	11	20	40	2344	28600
44	echigo	11	20	40	3057	37300
45	sado	11	20	40	1983	24200
46	shima	7	20	40	16874	154000
47	ise	7	20	40	11308	103200
48	iga	7	20	40	2169	19800
49	owari	9	20	40	8436	75800
50	mikawa	9	20	40	8436	75800
51	totomi	9	20	40	11730	105400
52	suruga	9	20	40	7212	64800
53	izu	9	20	40	2571	23100
54	kai	10	20	40	23736	34000
55	sagami	12	20	40	10392	73600
56	musashi	12	20	40	18455	130700
57	shimosa	12	20	40	14106	99900
58	kazusa	12	20	40	11790	83500
59	awa1	12	20	40	4956	35100
60	hitachi	13	20	40	18499	168000
61	omi	7	20	40	11187	102100
62	mino	9	20	40	16015	143900
63	hida	10	20	40	9983	14300
64	shinano	10	20	40	51381	73600
65	kozuke	13	20	40	12333	112000
66	shimotsuke	13	20	40	8468	76900
67	mutsu	15	20	40	28700	206500
68	dewa	14	20	40	4700	78000
69	ezo_honshu	15	20	40	0	0
70	ezo_hokkaido	16	20	40	0	0
71	ezo_chishima	16	20	40	0	0
72	ezo_karafuto	16	20	40	0	0
73	null1	0	20	40	0	0
74	null2	0	20	40	0	0
75	null3	0	20	40	0	0
76	null4	0	20	40	0	0
77	null5	0	20	40	0	0
78	null6	0	20	40	0	0
79	null7	0	20	40	0	0
80	null8	0	20	40	0	0
81	null9	0	20	40	0	0
82	null10	0	20	40	0	0
83	null11	0	20	40	0	0
84	null12	0	20	40	0	0
85	null13	0	20	40	0	0
86	null14	0	20	40	0	0
87	null15	0	20	40	0	0
88	ogasawara	1	20	40	0	0
89	izu1	1	20	40	0	0
90	ryukyu	1	20	40	0	0