		20代まで初婚率	30代まで初婚率			平均μ	σ	分散σ^2	
255	21.25	8.17E-01	9.76E-01	0.79%	47.51%	8.94E-01	8.38E-01	13.71%	5.39%
256	21.33	8.09E-01	9.86E-01	0.78%	48.29%	8.91E-01	8.48E-01	13.66%	5.49%
257	21.42	8.01E-01	9.96E-01	0.77%	49.06%	8.87E-01	8.58E-01	13.60%	5.58%
258	21.50	7.93E-01	1.01E+00	0.77%	49.83%	8.83E-01	8.68E-01	13.54%	5.66%
259	21.58	7.85E-01	1.02E+00	0.76%	50.59%	8.79E-01	8.77E-01	13.47%	5.75%
260	21.67	7.77E-01	1.03E+00	0.75%	51.34%	8.74E-01	8.87E-01	13.39%	5.82%
261	21.75	7.69E-01	1.04E+00	0.74%	52.08%	8.69E-01	8.97E-01	13.31%	5.90%
262	21.83	7.61E-01	1.04E+00	0.74%	52.82%	8.63E-01	9.07E-01	13.23%	5.97%
263	21.92	7.52E-01	1.05E+00	0.73%	53.55%	8.57E-01	9.17E-01	13.14%	6.03%
264	22.00	7.44E-01	1.06E+00	0.72%	54.26%	8.51E-01	9.27E-01	13.04%	6.09%
265	22.08	7.35E-01	1.07E+00	0.71%	54.97%	8.45E-01	9.37E-01	12.94%	6.15%
266	22.17	7.26E-01	1.08E+00	0.70%	55.68%	8.38E-01	9.46E-01	12.84%	6.20%
267	22.25	7.17E-01	1.09E+00	0.69%	56.37%	8.31E-01	9.56E-01	12.73%	6.25%
268	22.33	7.09E-01	1.10E+00	0.68%	57.05%	8.24E-01	9.66E-01	12.63%	6.29%
269	22.42	7.00E-01	1.11E+00	0.68%	57.73%	8.17E-01	9.76E-01	12.51%	6.33%
270	22.50	6.91E-01	1.12E+00	0.67%	58.40%	8.09E-01	9.86E-01	12.40%	6.36%
271	22.58	6.82E-01	1.13E+00	0.66%	59.06%	8.01E-01	9.96E-01	12.28%	6.40%
272	22.67	6.73E-01	1.14E+00	0.65%	59.71%	7.93E-01	1.01E+00	12.16%	6.42%
273	22.75	6.64E-01	1.15E+00	0.64%	60.35%	7.85E-01	1.02E+00	12.04%	6.44%
274	22.83	6.55E-01	1.16E+00	0.63%	60.98%	7.77E-01	1.03E+00	11.91%	6.46%
275	22.92	6.46E-01	1.17E+00	0.62%	61.61%	7.69E-01	1.04E+00	11.78%	6.48%
276	23.00	6.37E-01	1.18E+00	0.62%	62.22%	7.61E-01	1.04E+00	11.65%	6.49%
277	23.08	6.29E-01	1.19E+00	0.61%	62.83%	7.52E-01	1.05E+00	11.52%	6.50%
278	23.17	6.20E-01	1.20E+00	0.60%	63.43%	7.44E-01	1.06E+00	11.39%	6.50%
279	23.25	6.11E-01	1.21E+00	0.59%	64.02%	7.35E-01	1.07E+00	11.26%	6.50%
280	23.33	6.02E-01	1.22E+00	0.58%	64.60%	7.26E-01	1.08E+00	11.13%	6.50%
281	23.42	5.93E-01	1.23E+00	0.57%	65.18%	7.17E-01	1.09E+00	10.99%	6.49%
282	23.50	5.85E-01	1.24E+00	0.57%	65.74%	7.09E-01	1.10E+00	10.86%	6.48%
283	23.58	5.76E-01	1.25E+00	0.56%	66.30%	7.00E-01	1.11E+00	10.72%	6.47%
284	23.67	5.67E-01	1.26E+00	0.55%	66.85%	6.91E-01	1.12E+00	10.59%	6.46%
285	23.75	5.59E-01	1.27E+00	0.54%	67.39%	6.82E-01	1.13E+00	10.45%	6.44%
286	23.83	5.50E-01	1.28E+00	0.53%	67.92%	6.73E-01	1.14E+00	10.31%	6.42%
287	23.92	5.42E-01	1.29E+00	0.52%	68.44%	6.64E-01	1.15E+00	10.18%	6.39%
288	24.00	5.34E-01	1.30E+00	0.52%	68.96%	6.55E-01	1.16E+00	10.04%	6.37%
289	24.08	5.25E-01	1.31E+00	0.51%	69.47%	6.46E-01	1.17E+00	9.90%	6.34%
290	24.17	5.17E-01	1.32E+00	0.50%	69.96%	6.37E-01	1.18E+00	9.77%	6.31%
291	24.25	5.09E-01	1.33E+00	0.49%	70.46%	6.29E-01	1.19E+00	9.63%	6.28%
292	24.33	5.01E-01	1.34E+00	0.48%	70.94%	6.20E-01	1.20E+00	9.50%	6.24%
293	24.42	4.93E-01	1.35E+00	0.48%	71.42%	6.11E-01	1.21E+00	9.36%	6.21%
294	24.50	4.85E-01	1.36E+00	0.47%	71.89%	6.02E-01	1.22E+00	9.23%	6.17%
295	24.58	4.77E-01	1.37E+00	0.46%	72.35%	5.93E-01	1.23E+00	9.09%	6.13%
296	24.67	4.70E-01	1.38E+00	0.45%	72.80%	5.85E-01	1.24E+00	8.96%	6.09%
297	24.75	4.62E-01	1.39E+00	0.45%	73.25%	5.76E-01	1.25E+00	8.83%	6.04%
298	24.83	4.55E-01	1.40E+00	0.44%	73.69%	5.67E-01	1.26E+00	8.70%	6.00%
299	24.92	4.47E-01	1.41E+00	0.43%	74.12%	5.59E-01	1.27E+00	8.56%	5.95%
300	25.00	4.40E-01	1.42E+00	0.42%	74.54%	5.50E-01	1.28E+00	8.44%	5.90%
301	25.08	4.32E-01	1.43E+00	0.42%	74.96%	5.42E-01	1.29E+00	8.31%	5.85%
302	25.17	4.25E-01	1.44E+00	0.41%	75.37%	5.34E-01	1.30E+00	8.18%	5.80%
303	25.25	4.18E-01	1.45E+00	0.40%	75.78%	5.25E-01	1.31E+00	8.05%	5.75%
304	25.33	4.11E-01	1.46E+00	0.40%	76.17%	5.17E-01	1.32E+00	7.93%	5.70%
305	25.42	4.04E-01	1.47E+00	0.39%	76.57%	5.09E-01	1.33E+00	7.80%	5.64%
306	25.50	3.97E-01	1.48E+00	0.38%	76.95%	5.01E-01	1.34E+00	7.68%	5.59%
307	25.58	3.91E-01	1.49E+00	0.38%	77.33%	4.93E-01	1.35E+00	7.56%	5.54%
308	25.67	3.84E-01	1.50E+00	0.37%	77.70%	4.85E-01	1.36E+00	7.44%	5.48%
309	25.75	3.77E-01	1.51E+00	0.36%	78.06%	4.77E-01	1.37E+00	7.32%	5.42%
310	25.83	3.71E-01	1.52E+00	0.36%	78.42%	4.70E-01	1.38E+00	7.20%	5.37%
311	25.92	3.64E-01	1.53E+00	0.35%	78.77%	4.62E-01	1.39E+00	7.08%	5.31%
312	26.00	3.58E-01	1.54E+00	0.35%	79.12%	4.55E-01	1.40E+00	6.97%	5.25%
313	26.08	3.52E-01	1.55E+00	0.34%	79.46%	4.47E-01	1.41E+00	6.85%	5.19%
314	26.17	3.46E-01	1.56E+00	0.33%	79.79%	4.40E-01	1.42E+00	6.74%	5.13%
315	26.25	3.40E-01	1.57E+00	0.33%	80.12%	4.32E-01	1.43E+00	6.63%	5.07%
316	26.33	3.34E-01	1.58E+00	0.32%	80.44%	4.25E-01	1.44E+00	6.52%	5.01%
317	26.42	3.28E-01	1.59E+00	0.32%	80.76%	4.18E-01	1.45E+00	6.41%	4.95%
318	26.50	3.22E-01	1.60E+00	0.31%	81.07%	4.11E-01	1.46E+00	6.30%	4.89%
319	26.58	3.17E-01	1.61E+00	0.31%	81.38%	4.04E-01	1.47E+00	6.19%	4.83%
320	26.67	3.11E-01	1.62E+00	0.30%	81.68%	3.97E-01	1.48E+00	6.09%	4.77%
321	26.75	3.06E-01	1.63E+00	0.30%	81.98%	3.91E-01	1.49E+00	5.98%	4.71%
322	26.83	3.00E-01	1.64E+00	0.29%	82.27%	3.84E-01	1.50E+00	5.88%	4.65%
323	26.92	2.95E-01	1.65E+00	0.28%	82.55%	3.77E-01	1.51E+00	5.78%	4.59%
324	27.00	2.90E-01	1.66E+00	0.28%	82.83%	3.71E-01	1.52E+00	5.68%	4.53%
325	27.08	2.84E-01	1.67E+00	0.27%	83.10%	3.64E-01	1.53E+00	5.59%	4.47%
326	27.17	2.79E-01	1.68E+00	0.27%	83.37%	3.58E-01	1.54E+00	5.49%	4.42%
327	27.25	2.74E-01	1.69E+00	0.27%	83.64%	3.52E-01	1.55E+00	5.39%	4.36%
328	27.33	2.69E-01	1.70E+00	0.26%	83.90%	3.46E-01	1.56E+00	5.30%	4.30%
329	27.42	2.65E-01	1.71E+00	0.26%	84.16%	3.40E-01	1.57E+00	5.21%	4.24%
330	27.50	2.60E-01	1.72E+00	0.25%	84.41%	3.34E-01	1.58E+00	5.12%	4.18%
331	27.58	2.55E-01	1.73E+00	0.25%	84.65%	3.28E-01	1.59E+00	5.03%	4.12%
332	27.67	2.51E-01	1.74E+00	0.24%	84.90%	3.22E-01	1.60E+00	4.94%	4.06%
333	27.75	2.46E-01	1.74E+00	0.24%	85.13%	3.17E-01	1.61E+00	4.85%	4.01%
334	27.83	2.42E-01	1.75E+00	0.23%	85.37%	3.11E-01	1.62E+00	4.77%	3.95%
335	27.92	2.37E-01	1.76E+00	0.23%	85.60%	3.06E-01	1.63E+00	4.68%	3.89%
336	28.00	2.33E-01	1.77E+00	0.23%	85.82%	3.00E-01	1.64E+00	4.60%	3.83%
337	28.08	2.29E-01	1.78E+00	0.22%	86.04%	2.95E-01	1.65E+00	4.52%	3.78%
338	28.17	2.25E-01	1.79E+00	0.22%	86.26%	2.90E-01	1.66E+00	4.44%	3.72%
339	28.25	2.20E-01	1.80E+00	0.21%	86.47%	2.84E-01	1.67E+00	4.36%	3.67%
340	28.33	2.16E-01	1.81E+00	0.21%	86.68%	2.79E-01	1.68E+00	4.28%	3.61%
341	28.42	2.12E-01	1.82E+00	0.21%	86.89%	2.74E-01	1.69E+00	4.20%	3.56%
342	28.50	2.09E-01	1.83E+00	0.20%	87.09%	2.69E-01	1.70E+00	4.13%	3.50%
343	28.58	2.05E-01	1.84E+00	0.20%	87.29%	2.65E-01	1.71E+00	4.05%	3.45%
344	28.67	2.01E-01	1.85E+00	0.19%	87.48%	2.60E-01	1.72E+00	3.98%	3.40%
345	28.75	1.97E-01	1.86E+00	0.19%	87.67%	2.55E-01	1.73E+00	3.91%	3.35%
346	28.83	1.94E-01	1.87E+00	0.19%	87.86%	2.51E-01	1.74E+00	3.84%	3.29%
347	28.92	1.90E-01	1.88E+00	0.18%	88.04%	2.46E-01	1.74E+00	3.77%	3.24%
348	29.00	1.87E-01	1.89E+00	0.18%	88.22%	2.42E-01	1.75E+00	3.70%	3.19%
349	29.08	1.83E-01	1.90E+00	0.18%	88.40%	2.37E-01	1.76E+00	3.63%	3.14%
350	29.17	1.80E-01	1.91E+00	0.17%	88.57%	2.33E-01	1.77E+00	3.57%	3.09%
351	29.25	1.77E-01	1.92E+00	0.17%	88.74%	2.29E-01	1.78E+00	3.50%	3.04%
352	29.33	1.73E-01	1.93E+00	0.17%	88.91%	2.25E-01	1.79E+00	3.44%	3.00%
353	29.42	1.70E-01	1.94E+00	0.16%	89.08%	2.20E-01	1.80E+00	3.38%	2.95%
354	29.50	1.67E-01	1.95E+00	0.16%	89.24%	2.16E-01	1.81E+00	3.32%	2.90%
355	29.58	1.64E-01	1.96E+00	0.16%	89.40%	2.12E-01	1.82E+00	3.26%	2.85%
356	29.67	1.61E-01	1.97E+00	0.16%	89.55%	2.09E-01	1.83E+00	3.20%	2.81%
357	29.75	1.58E-01	1.98E+00	0.15%	89.70%	2.05E-01	1.84E+00	3.14%	2.76%
358	29.83	1.55E-01	1.99E+00	0.15%	89.85%	2.01E-01	1.85E+00	3.08%	2.72%
359	29.92	1.52E-01	2.00E+00	0.15%	90.00%	1.97E-01	1.86E+00	3.02%	2.67%
360	30.00	1.49E-01	2.01E+00	0.14%	90.15%	1.94E-01	1.87E+00	2.97%	2.63%
361	30.08	1.47E-01	2.02E+00	0.14%	90.29%	1.90E-01	1.88E+00	2.91%	2.59%
362	30.17	1.44E-01	2.03E+00	0.14%	90.43%	1.87E-01	1.89E+00	2.86%	2.54%
363	30.25	1.41E-01	2.04E+00	0.14%	90.56%	1.83E-01	1.90E+00	2.81%	2.50%
364	30.33	1.39E-01	2.05E+00	0.13%	90.70%	1.80E-01	1.91E+00	2.76%	2.46%
365	30.42	1.36E-01	2.06E+00	0.13%	90.83%	1.77E-01	1.92E+00	2.71%	2.42%
366	30.50	1.34E-01	2.07E+00	0.13%	90.96%	1.73E-01	1.93E+00	2.66%	2.38%
367	30.58	1.31E-01	2.08E+00	0.13%	91.09%	1.70E-01	1.94E+00	2.61%	2.34%
368	30.67	1.29E-01	2.09E+00	0.12%	91.21%	1.67E-01	1.95E+00	2.56%	2.30%
369	30.75	1.26E-01	2.10E+00	0.12%	91.33%	1.64E-01	1.96E+00	2.51%	2.26%
370	30.83	1.24E-01	2.11E+00	0.12%	91.45%	1.61E-01	1.97E+00	2.47%	2.22%
371	30.92	1.22E-01	2.12E+00	0.12%	91.57%	1.58E-01	1.98E+00	2.42%	2.19%
372	31.00	1.20E-01	2.13E+00	0.12%	91.69%	1.55E-01	1.99E+00	2.38%	2.15%
373	31.08	1.17E-01	2.14E+00	0.11%	91.80%	1.52E-01	2.00E+00	2.33%	2.11%
374	31.17	1.15E-01	2.15E+00	0.11%	91.91%	1.49E-01	2.01E+00	2.29%	2.08%
375	31.25	1.13E-01	2.16E+00	0.11%	92.02%	1.47E-01	2.02E+00	2.25%	2.04%
376	31.33	1.11E-01	2.17E+00	0.11%	92.13%	1.44E-01	2.03E+00	2.21%	2.01%
377	31.42	1.09E-01	2.18E+00	0.11%	92.23%	1.41E-01	2.04E+00	2.17%	1.97%
378	31.50	1.07E-01	2.19E+00	0.10%	92.33%	1.39E-01	2.05E+00	2.13%	1.94%
379	31.58	1.05E-01	2.20E+00	0.10%	92.44%	1.36E-01	2.06E+00	2.09%	1.91%
380	31.67	1.03E-01	2.21E+00	0.10%	92.54%	1.34E-01	2.07E+00	2.05%	1.87%
381	31.75	1.01E-01	2.22E+00	0.10%	92.63%	1.31E-01	2.08E+00	2.01%	1.84%
382	31.83	9.92E-02	2.23E+00	0.10%	92.73%	1.29E-01	2.09E+00	1.97%	1.81%
383	31.92	9.74E-02	2.24E+00	0.09%	92.82%	1.26E-01	2.10E+00	1.94%	1.78%
384	32.00	9.56E-02	2.25E+00	0.09%	92.92%	1.24E-01	2.11E+00	1.90%	1.75%
385	32.08	9.38E-02	2.26E+00	0.09%	93.01%	1.22E-01	2.12E+00	1.87%	1.72%
386	32.17	9.21E-02	2.27E+00	0.09%	93.10%	1.20E-01	2.13E+00	1.83%	1.69%
387	32.25	9.04E-02	2.28E+00	0.09%	93.18%	1.17E-01	2.14E+00	1.80%	1.66%
388	32.33	8.87E-02	2.29E+00	0.09%	93.27%	1.15E-01	2.15E+00	1.76%	1.63%
389	32.42	8.71E-02	2.30E+00	0.08%	93.35%	1.13E-01	2.16E+00	1.73%	1.60%
390	32.50	8.55E-02	2.31E+00	0.08%	93.44%	1.11E-01	2.17E+00	1.70%	1.57%
391	32.58	8.39E-02	2.32E+00	0.08%	93.52%	1.09E-01	2.18E+00	1.67%	1.55%
392	32.67	8.24E-02	2.33E+00	0.08%	93.60%	1.07E-01	2.19E+00	1.64%	1.52%
393	32.75	8.09E-02	2.34E+00	0.08%	93.67%	1.05E-01	2.20E+00	1.61%	1.49%
394	32.83	7.94E-02	2.35E+00	0.08%	93.75%	1.03E-01	2.21E+00	1.58%	1.47%
395	32.92	7.79E-02	2.36E+00	0.08%	93.83%	1.01E-01	2.22E+00	1.55%	1.44%
396	33.00	7.65E-02	2.37E+00	0.07%	93.90%	9.92E-02	2.23E+00	1.52%	1.42%
397	33.08	7.51E-02	2.38E+00	0.07%	93.97%	9.74E-02	2.24E+00	1.49%	1.39%
398	33.17	7.37E-02	2.39E+00	0.07%	94.04%	9.56E-02	2.25E+00	1.46%	1.37%
399	33.25	7.24E-02	2.40E+00	0.07%	94.11%	9.38E-02	2.26E+00	1.44%	1.34%
400	33.33	7.11E-02	2.41E+00	0.07%	94.18%	9.21E-02	2.27E+00	1.41%	1.32%
401	33.42	6.98E-02	2.42E+00	0.07%	94.25%	9.04E-02	2.28E+00	1.39%	1.30%
402	33.50	6.85E-02	2.43E+00	0.07%	94.32%	8.87E-02	2.29E+00	1.36%	1.27%
403	33.58	6.72E-02	2.44E+00	0.06%	94.38%	8.71E-02	2.30E+00	1.33%	1.25%
404	33.67	6.60E-02	2.44E+00	0.06%	94.45%	8.55E-02	2.31E+00	1.31%	1.23%
405	33.75	6.48E-02	2.45E+00	0.06%	94.51%	8.39E-02	2.32E+00	1.29%	1.21%
406	33.83	6.36E-02	2.46E+00	0.06%	94.57%	8.24E-02	2.33E+00	1.26%	1.19%
407	33.92	6.24E-02	2.47E+00	0.06%	94.63%	8.09E-02	2.34E+00	1.24%	1.16%
408	34.00	6.13E-02	2.48E+00	0.06%	94.69%	7.94E-02	2.35E+00	1.22%	1.14%
409	34.08	6.02E-02	2.49E+00	0.06%	94.75%	7.79E-02	2.36E+00	1.19%	1.12%
410	34.17	5.91E-02	2.50E+00	0.06%	94.80%	7.65E-02	2.37E+00	1.17%	1.10%
411	34.25	5.80E-02	2.51E+00	0.06%	94.86%	7.51E-02	2.38E+00	1.15%	1.08%
412	34.33	5.70E-02	2.52E+00	0.06%	94.92%	7.37E-02	2.39E+00	1.13%	1.07%
413	34.42	5.59E-02	2.53E+00	0.05%	94.97%	7.24E-02	2.40E+00	1.11%	1.05%
414	34.50	5.49E-02	2.54E+00	0.05%	95.02%	7.11E-02	2.41E+00	1.09%	1.03%
415	34.58	5.39E-02	2.55E+00	0.05%	95.07%	6.98E-02	2.42E+00	1.07%	1.01%
416	34.67	5.29E-02	2.56E+00	0.05%	95.13%	6.85E-02	2.43E+00	1.05%	0.99%
417	34.75	5.20E-02	2.57E+00	0.05%	95.18%	6.72E-02	2.44E+00	1.03%	0.97%
418	34.83	5.10E-02	2.58E+00	0.05%	95.23%	6.60E-02	2.44E+00	1.01%	0.96%
419	34.92	5.01E-02	2.59E+00	0.05%	95.27%	6.48E-02	2.45E+00	0.99%	0.94%
420	35.00	4.92E-02	2.60E+00	0.05%	95.32%	6.36E-02	2.46E+00	0.97%	0.92%
421	35.08	4.83E-02	2.61E+00	0.05%	95.37%	6.24E-02	2.47E+00	0.96%	0.91%
422	35.17	4.74E-02	2.62E+00	0.05%	95.41%	6.13E-02	2.48E+00	0.94%	0.89%
423	35.25	4.66E-02	2.63E+00	0.05%	95.46%	6.02E-02	2.49E+00	0.92%	0.88%
424	35.33	4.57E-02	2.64E+00	0.04%	95.50%	5.91E-02	2.50E+00	0.91%	0.86%
425	35.42	4.49E-02	2.65E+00	0.04%	95.55%	5.80E-02	2.51E+00	0.89%	0.85%
426	35.50	4.41E-02	2.66E+00	0.04%	95.59%	5.70E-02	2.52E+00	0.87%	0.83%
427	35.58	4.33E-02	2.67E+00	0.04%	95.63%	5.59E-02	2.53E+00	0.86%	0.82%
428	35.67	4.25E-02	2.68E+00	0.04%	95.67%	5.49E-02	2.54E+00	0.84%	0.80%
429	35.75	4.17E-02	2.69E+00	0.04%	95.71%	5.39E-02	2.55E+00	0.83%	0.79%
430	35.83	4.10E-02	2.70E+00	0.04%	95.75%	5.29E-02	2.56E+00	0.81%	0.77%
431	35.92	4.03E-02	2.71E+00	0.04%	95.79%	5.20E-02	2.57E+00	0.80%	0.76%
432	36.00	3.95E-02	2.72E+00	0.04%	95.83%	5.10E-02	2.58E+00	0.78%	0.75%
433	36.08	3.88E-02	2.73E+00	0.04%	95.87%	5.01E-02	2.59E+00	0.77%	0.73%
434	36.17	3.81E-02	2.74E+00	0.04%	95.90%	4.92E-02	2.60E+00	0.75%	0.72%
435	36.25	3.74E-02	2.75E+00	0.04%	95.94%	4.83E-02	2.61E+00	0.74%	0.71%
436	36.33	3.68E-02	2.76E+00	0.04%	95.97%	4.74E-02	2.62E+00	0.73%	0.69%
437	36.42	3.61E-02	2.77E+00	0.03%	96.01%	4.66E-02	2.63E+00	0.71%	0.68%
438	36.50	3.55E-02	2.78E+00	0.03%	96.04%	4.57E-02	2.64E+00	0.70%	0.67%
439	36.58	3.48E-02	2.79E+00	0.03%	96.08%	4.49E-02	2.65E+00	0.69%	0.66%
440	36.67	3.42E-02	2.80E+00	0.03%	96.11%	4.41E-02	2.66E+00	0.68%	0.65%
441	36.75	3.36E-02	2.81E+00	0.03%	96.14%	4.33E-02	2.67E+00	0.66%	0.64%
442	36.83	3.30E-02	2.82E+00	0.03%	96.18%	4.25E-02	2.68E+00	0.65%	0.62%
443	36.92	3.24E-02	2.83E+00	0.03%	96.21%	4.17E-02	2.69E+00	0.64%	0.61%
444	37.00	3.18E-02	2.84E+00	0.03%	96.24%	4.10E-02	2.70E+00	0.63%	0.60%
445	37.08	3.13E-02	2.85E+00	0.03%	96.27%	4.03E-02	2.71E+00	0.62%	0.59%
446	37.17	3.07E-02	2.86E+00	0.03%	96.30%	3.95E-02	2.72E+00	0.61%	0.58%
447	37.25	3.02E-02	2.87E+00	0.03%	96.33%	3.88E-02	2.73E+00	0.59%	0.57%
448	37.33	2.96E-02	2.88E+00	0.03%	96.35%	3.81E-02	2.74E+00	0.58%	0.56%
449	37.42	2.91E-02	2.89E+00	0.03%	96.38%	3.74E-02	2.75E+00	0.57%	0.55%
450	37.50	2.86E-02	2.90E+00	0.03%	96.41%	3.68E-02	2.76E+00	0.56%	0.54%
451	37.58	2.81E-02	2.91E+00	0.03%	96.44%	3.61E-02	2.77E+00	0.55%	0.53%
452	37.67	2.76E-02	2.92E+00	0.03%	96.46%	3.55E-02	2.78E+00	0.54%	0.52%
453	37.75	2.71E-02	2.93E+00	0.03%	96.49%	3.48E-02	2.79E+00	0.53%	0.51%
454	37.83	2.66E-02	2.94E+00	0.03%	96.52%	3.42E-02	2.80E+00	0.52%	0.50%
455	37.92	2.61E-02	2.95E+00	0.03%	96.54%	3.36E-02	2.81E+00	0.51%	0.50%
456	38.00	2.57E-02	2.96E+00	0.02%	96.57%	3.30E-02	2.82E+00	0.51%	0.49%
457	38.08	2.52E-02	2.97E+00	0.02%	96.59%	3.24E-02	2.83E+00	0.50%	0.48%
458	38.17	2.48E-02	2.98E+00	0.02%	96.61%	3.18E-02	2.84E+00	0.49%	0.47%
459	38.25	2.44E-02	2.99E+00	0.02%	96.64%	3.13E-02	2.85E+00	0.48%	0.46%
460	38.33	2.39E-02	3.00E+00	0.02%	96.66%	3.07E-02	2.86E+00	0.47%	0.45%
461	38.42	2.35E-02	3.01E+00	0.02%	96.68%	3.02E-02	2.87E+00	0.46%	0.45%
462	38.50	2.31E-02	3.02E+00	0.02%	96.71%	2.96E-02	2.88E+00	0.45%	0.44%
463	38.58	2.27E-02	3.03E+00	0.02%	96.73%	2.91E-02	2.89E+00	0.45%	0.43%
464	38.67	2.23E-02	3.04E+00	0.02%	96.75%	2.86E-02	2.90E+00	0.44%	0.42%
465	38.75	2.19E-02	3.05E+00	0.02%	96.77%	2.81E-02	2.91E+00	0.43%	0.42%
466	38.83	2.15E-02	3.06E+00	0.02%	96.79%	2.76E-02	2.92E+00	0.42%	0.41%
467	38.92	2.11E-02	3.07E+00	0.02%	96.81%	2.71E-02	2.93E+00	0.42%	0.40%
468	39.00	2.08E-02	3.08E+00	0.02%	96.83%	2.66E-02	2.94E+00	0.41%	0.39%
469	39.08	2.04E-02	3.09E+00	0.02%	96.85%	2.61E-02	2.95E+00	0.40%	0.39%
470	39.17	2.01E-02	3.10E+00	0.02%	96.87%	2.57E-02	2.96E+00	0.39%	0.38%
471	39.25	1.97E-02	3.11E+00	0.02%	96.89%	2.52E-02	2.97E+00	0.39%	0.37%
472	39.33	1.94E-02	3.12E+00	0.02%	96.91%	2.48E-02	2.98E+00	0.38%	0.37%
473	39.42	1.90E-02	3.13E+00	0.02%	96.93%	2.44E-02	2.99E+00	0.37%	0.36%
474	39.50	1.87E-02	3.13E+00	0.02%	96.95%	2.39E-02	3.00E+00	0.37%	0.35%
475	39.58	1.84E-02	3.14E+00	0.02%	96.96%	2.35E-02	3.01E+00	0.36%	0.35%
476	39.67	1.81E-02	3.15E+00	0.02%	96.98%	2.31E-02	3.02E+00	0.35%	0.34%
477	39.75	1.77E-02	3.16E+00	0.02%	97.00%	2.27E-02	3.03E+00	0.35%	0.34%
478	39.83	1.74E-02	3.17E+00	0.02%	97.01%	2.23E-02	3.04E+00	0.34%	0.33%
479	39.92	1.71E-02	3.18E+00	0.02%	97.03%	2.19E-02	3.05E+00	0.34%	0.33%
480	40.00	1.68E-02	3.19E+00	0.02%	97.05%	2.15E-02	3.06E+00	0.33%	0.32%
481	40.08	1.65E-02	3.20E+00	0.02%	97.06%	2.11E-02	3.07E+00	0.32%	0.31%
482	40.17	1.63E-02	3.21E+00	0.02%	97.08%	2.08E-02	3.08E+00	0.32%	0.31%
483	40.25	1.60E-02	3.22E+00	0.02%	97.09%	2.04E-02	3.09E+00	0.31%	0.30%
484	40.33	1.57E-02	3.23E+00	0.02%	97.11%	2.01E-02	3.10E+00	0.31%	0.30%
485	40.42	1.54E-02	3.24E+00	0.01%	97.12%	1.97E-02	3.11E+00	0.30%	0.29%
486	40.50	1.52E-02	3.25E+00	0.01%	97.14%	1.94E-02	3.12E+00	0.30%	0.29%
487	40.58	1.49E-02	3.26E+00	0.01%	97.15%	1.90E-02	3.13E+00	0.29%	0.28%
488	40.67	1.47E-02	3.27E+00	0.01%	97.17%	1.87E-02	3.13E+00	0.29%	0.28%
489	40.75	1.44E-02	3.28E+00	0.01%	97.18%	1.84E-02	3.14E+00	0.28%	0.27%
490	40.83	1.42E-02	3.29E+00	0.01%	97.20%	1.81E-02	3.15E+00	0.28%	0.27%
491	40.92	1.39E-02	3.30E+00	0.01%	97.21%	1.77E-02	3.16E+00	0.27%	0.26%
492	41.00	1.37E-02	3.31E+00	0.01%	97.22%	1.74E-02	3.17E+00	0.27%	0.26%
493	41.08	1.34E-02	3.32E+00	0.01%	97.24%	1.71E-02	3.18E+00	0.26%	0.25%
